n,A225114,connected_A006958
171,1494120042075192276786702101182863277118239313351333889539528632898028110416656708408,42011584696592249622656035548335496384414126694393315158423081
172,4675016849821201464337496684106685290343458861502246850679961211693640203218014606727,97010571589873966575696107460270014581966385268142057779415129
173,14627862508126537720031492655838842520477943493243019673494433526687771547627578710071,224010854819228826997260489700968871364819621295203087083998433
174,45769751945351291606761541239127716486324098499312814202943412132848687835651317357014,517272110188035730144170006763412177104710213941202414725308117
175,143210957306659062180438959620692065835521668284589522209528635834541571836933252041428,1194452992888697498300298905117512193183457407794852608155164260
176,448098961016388161358266595791717012909691208619587935616851718215985816078281921379031,2758157503798406367522583861670317457242294476375893766001992504
177,1402076228245630506439920374711683668886370837409540170407128876879683743990164147217000,6368967938505000757689112134785459181466002583941526662057408880
178,4387016978018831491655998664486389139678668495021155701871277984587805619145531476339204,14706829666486458319286751551439041849653590673389267035765839579
179,13726727247567154148803985885357066733070272826454459423648961709969058068406797988925595,33960107968421729332891078708917636505253619330676410627716418477
180,42950150836706819833394742408556566289608560556942872628698095076919961680117370789883560,78418595943553077253485982259651037151623806975470595499641920867
181,134388585394440196823887925501357043061133925320073016250603577935461953076752731874967244,181079406328048593009438698581955730271304780202211976458468959990
182,420494259798588133402949483623281770060529708091818827572919411051378809662254510276174303,418137445609471214199349243889911995548940740017750717881517346037
183,1315702684157263109362802496697826760112261422239105723278524227015294043605556202043167719,965537312973460609679294910710307654305560860163404643014727991272
184,4116759058560730347437832635844824697194449032763067659168305429959707571913934552228433797,2229559472687642473192714043726954845342340448635956946691279195016
185,12881105549387256648180325088188740336484817476330585742849341957378042417802769879758842227,5148361824508622327429770962182741325036538797730272252067462491058
186,40304248515448426723881219104126161005896771658131439352627290621405127922704577524526037207,11888280981402259534319460818865871601192133051082544862249534181466
187,126109707133973418462642859735104977299846291968047707977007310259533834991779448132464345936,27451688422512886974273845459996019880955392167155396584254483852954
